一,ひと, ひと(つ),ひと－つ,one,一人(ひとり)－alone
二,に,ふた－つ,two,二人(ふたり)－couple
時,じ,とき,time-hour counter,時間(じかん)－time
間,かん-けん,あいだ-ま,interval-space-room-time, 三時間(さんじかん)－three hours
毎,まい,ごと,every,毎日(まいにち)－everyday
先,せん,さき,previous-ahead,先生(せんせい)－teacher
今,こん-きん,いま,now-the present,今日(きょう)-今日(こんにち)－today
何,か,なに-なん-いず－れ,what-how many,何日(なんにち)－which day
上,じょう-しょう,うえ-うわ-あ－げる-あ－がる-のぼ－る-のぼ－せる-かみ,top-above-to raise-to rise-to go up,上手(じょおず)－skillful
下,か-げ,した-しも-さ－げる-さ－がる-くだ－る-くだ－す-お－りる-お－ろす,bottom-under-down,下着(したぎ)－underwear
左,さ,ひだり,left,左足(ひだりあし)－left foot
右,ゆう-う,みぎ,right,右手(みぎて)－right hand
北,ほく,きた,north,北海道(ほっかいどう)－Hokkaido
南,なん,みなみ,south,南(みなみアメリカ)－South America
東,とう,ひがし-ひんがし,east,東京(とうきょう)-Tokyo
西,せい-さい,にし,west,関西(かんさい)－Kansai region
外,がい-げ,うい-ほか-そと,outside-foreign-other,外国人(がいこくじん)－foreigner
名,めい-みょう,な,name-fame-famous name,名前(なまえ)－name
高,こう,たか－い-たか,high-costly-tall,高校(こうこう)－high school
小,しょう,こお,ちい－さい,small-little,小学校(しょうがっこう)－elementary school
中,ちゅう-じゅう,なか-あた－る,middle-center-within-inside,中学校(ちゅうがっこう)－junior high school
大,だい-たい,おお－きい,great-big,大学(だいがく)－university-college-大阪(おおさか)－Osaka
長,ちょう,なが－い,head of an organization-leader-long,長(ちょう)－chief
半,はん,なか－ば,half,半分(はんぶん)－half
分,ぶん-ふん-ぶ,わ－ける-わ－かる-わ－かつ,part share-minute counter-to divide separate-to understand,	三分(さんぶん)－three minutes
学,がく,まな－ぶ,learning - science- to learn,学校(がっこう)－school
校,こう,あぜ,school,学校(がっこう)－school
生,せい-しょう,う－む-い－きる-なま,birth - life-to give birth - to live - raw,誕生日(たんじょうび)－birthday
山,さん-せん,やま,mountain,富士山(ふじさん)－Mt. Fuji
川,せん,かわ,river - stream,川上(かわかみ)－upstream
白,はく-びゃく,しろ-しら-しろ－い,white,白(しろ)－white
天,てん,あま-あめ,heaven - sky,天気(てんき)－weather
雨,う,あま-あめ,rain,雨(あめ)－rain
電,でん,いかずち,electricity - electric powered,電話(でんわ)－telephone-電車(でんしゃ)－train
気,き,け,spirit-intention-mind-power-energy,空気(くうき)－air
車,しゃ,くるま,wheel-vehicle-car,自転車(じてんしゃ)－bicycle
国,こく-ごく,くに,country-nation,中国(ちゅうごく)－China
円,えん,まる－い-まど－か-つぶ－ら,circle-yen(money),百円(ひゃくえん)－100 yen
話,わ,はなし-はな－す,talk-topic-story-to talk,会話(かいわ)－conversation
聞,ぶん-もん,き－く,to hear-to listen-to ask,新聞(しんぶん)－newspaper
食,じき-しょく,く－う-た－べる,eating-meal-food,食べ物(たべもの)－food
読,どく-とう,よ－む,to read,読書(どくしょ)－reading
来,らい,く－る,to come,未来(みらい)－future
書,しょ,か－く,book-document-to write,書道(しょどう)－calligraphy
見,けん,み－る-み－せる,to see - to show,見(みる)to see
行,ぎょう-こう-あん,い－く-ゆ－く,to go,旅行(りょこう)－journey
出,しゅつ-すい,だ－す-いだ－す-で－る,to go out-leave,出口でぐち－exit
入,にゅう-じゅ,い－る-はい－る,enter-to go in-to insert,入口(いりぐち)－entrance
会,かい-え,あ－う,to meet,会社(かいしゃ)－company-corporation
口,くち,こう－く,Entrance,入り口 (いりぐち)－Entrance-入口(いりぐち)－entrance
古,ふる－い-ふる－す,こ,Old,古い(ふるい)－Old(not person)
多,おお－い-まさ－に-まさ－る,た,Many-Numerous,多い(おおい)-Many-numerous-多分(たぶん)－Perhaps-probably
安,やす－い-やす－まる-やす,あん,Cheap,安い(やすい)－Cheap,不安(ふあん)－Anxiety
少,すく－ない-すこ－し,しょう,Small quantity-little-few,少なくとも(すくなくとも)－At least
店,みせ-たな,てん,Store-shop,
手,,,,
新,,,,
目,,,,
社,,,,
空,,,,
立,,,,
耳,,,,
花,,,,
言,,,,
買,,,,
足,,,,
週,,,,
道,,,,
飲,,,,
駅,,,,
魚,,,,
