会う,あう,encontrar
本棚,ほんだな,estantes
,ほんとう,verdade
毎朝,まいあさ,toda manhã
毎月,まいげつ/まいつき,todo mês
毎週,まいしゅう,toda semana
毎日,まいにち,diariamente
毎年,まいねん/まいとし,todo ano
毎晩,まいばん,toda noite
前,まえ,antes
曲る,まがる,to turn- to bend
,まずい,desagradável
,また,denovo e
,まだ,ainda assim
町,まち,cidade Cidade
待つ,まつ,esperar
,まっすぐ,direto direto
,マッチ,corresponder
窓,まど,janela
丸い/円い,まるい,redondo-circular
万,まん,dez mil
万年筆,まんねんひつ,caneta tinteiro
磨く,みがく,escovar os dentes - polir
右,みぎ,lado direito
短い,みじかい,curto
水,みず,água
店,みせ,comprar
見せる,みせる,mostrar
道,みち,rua
三日,みっか,três dias - terceiro dia do mês
三つ,みっつ,três
緑,みどり,verde
皆さん,みなさん,todos
南,みなみ,sul
耳,みみ,orelha
見る 観る,みる,ver- assistir
,みんな,todos
六日,むいか,seis dias - sexto dia do mês
向こう,むこう,lá
難しい,むずかしい,difícil
六つ,むっつ,seis
村,むら,Vila
目,め,olho
,メートル,metro
眼鏡,めがね,copos
,もう,já
もう一度,もういちど,de novo
木曜日,もくようび,Quinta-feira
持つ,もつ,segurar
,もっと,mais
物,もの,coisa
門,もん,portão
問題,もんだい,problema
八百屋,やおや,verdureiro
野菜,やさい,vegetal
易しい,やさしい,fácil- simples
安い,やすい,barato
休み,やすみ,férias de descanso
休む,やすむ,descansar
八つ,やっつ,oito
山,やま,montanha
,やる,pendência
夕方,ゆうがた,noite
夕飯,ゆうはん,jantar
郵便局,ゆうびんきょく,correios
昨夜,ゆうべ,noite passada
有名,ゆうめい,famoso
雪,ゆき,neve
行く,ゆく,ir
,ゆっくりと,devagar
八日,ようか,oito dias - oitavo dia do mês
洋服,ようふく,roupas de estilo ocidental
,よく,frequentemente- bem
横,よこ,ao lado da largura
四日,よっか,quatro dias - quarto dia do mês
四つ,よっつ,quatro
呼ぶ,よぶ,chamar-convidar
読む,よむ,ler
夜,よる,tarde-noite
弱い,よわい,fraco
来月,らいげつ,próximo mês
来週,らいしゅう,semana que vem
来年,らいねん,Próximo ano
,ラジオ,rádio
,ラジカセ / ラジオカセット,rádio toca-fitas
,りっぱ,esplêndido
留学生,りゅうがくせい,estudante estrangeiro
両親,りょうしん,ambos os pais
料理,りょうり,cozinha
旅行,りょこう,viagem
零,れい,zero
冷蔵庫,れいぞうこ,frigorífico
,レコード,registro
,レストラン,restaurante
練習,れんしゅうする,praticar
廊下,ろうか,corredor
六,ろく,seis
,ワイシャツ,camisa de negócios
若い,わかい,jovem
分かる,わかる,para ser entendido
忘れる,わすれる,esquecer
私,わたくし,(humilde) eu-eu mesmo
私,わたし,Eu mesmo
渡す,わたす,entregar
渡る,わたる,atravessar
悪い,わるい,ruim
,より、ほう,Usado para comparação.
