政,セイ ショウ マ,まつりごと,política- governo
収,シュウ オサ.マ,おさ.める,renda- obter- colher- pagar- fornecer- armazenar
断,ダン,た.つ ことわ.る さだ.める,rescisão- recusar- recusar- pedir desculpas- avisar- dispensar- proibir- decisão- julgamento- cortar
石,セキ シャク コク イ,,pedra
違,イ,ちが.う ちが.い ちが.える -ちが.える たが.う たが.える,diferença- diferir
消,ショウ,き.える け.す,extinguir- apagar- desligar- neutralizar- cancelar
神,シン ジン,かみ かん- こう,deuses-mente-alma
番,バン ツガ.,, número do turno em uma série
規,,,medida padrão
術,ジュツ,すべ,arte- técnica- habilidade- meios- truque- recursos- magia
備,ビ ツ ブ サ.,そな.える そな.わる,equipar- provisão- preparação
宅,タ,,lar- casa- residência- nossa casa- meu marido
害,ガイ,,dano- ferimento
配,ハイ,くば.る,distribuir- cônjuge- exílio- racionamento
警,ケイ,いまし.める,admoestar- mandamento
育,イ ク ハ グ ク.,そだ.つ そだ.ち そだ.てる,criar- crescer- levantar- traseiro
席,セキ,むしろ,assento- tapete- ocasião- lugar
訪,ホウト.,おとず.れる たず.ねる,ligue- visite- procure- ofereça simpatia
乗,ジョウ ショウ ノ.セ,の.る -の.り,ride- power- multiplication- record- counter for vehicles- board- mount- join
残,ザン サン,のこ.る のこ.す そこな.う のこ.り,resto- resto- saldo
想,ソウソ,おも.う,conceito- pensar- ideia- pensamento
声,セイ ショウ,こえ こわ-, voz
念,ネン,,desejo- sentido- ideia- pensamento- sentimento- desejo- atenção
助,ジョ,たす.ける たす.かる す.ける すけ,ajudar- resgatar- ajudar
労,ロウ,ろう.する いたわ.る いた.ずき ねぎら つか.れる ねぎら.う,trabalho- agradecer- recompensa por- labuta- problemas
 exemplo,レイ,たと.える,exemplo- costume- uso- precedente
然,ゼン ネン,しか しか.り しか.し さ,tipo de coisa- então- se assim- nesse caso- bem
限,ゲン,かぎ.る かぎ.り -かぎ.り,limitar- restringir- ao melhor da capacidade
追,ツ イ オ.,, perseguir- afastar- seguir- perseguir- enquanto isso
商,ショウ アキナ.,, fazer um negócio- venda- negociação em- comerciante
葉,ヨウ,,folha- plano- lóbulo- agulha- lâmina- lança- contador para coisas planas- fragmento- peça
伝,デン テン ツ,つた.わる つた.える つた.う つだ.う -づた.い,transmitir- ir junto- caminhar junto- seguir- relatar- comunicar- lenda- tradição
働,ドウ リュク リキ ロク リョク,はたら.く,trabalho- (kokuji)
形,ケイ ギョウ ナ,かた -がた かたち,forma- forma- estilo
景,ケ,,paisagem- vista
落,ラク オ.ト,お.ちる お.ち,cair- cair- descer
好,コ ウ イ.,この.む す.く よ.い,afeiçoado- agradável- como algo
退,タイ,しりぞ.く しりぞ.ける ひ.く の.く の.ける ど.く,retirar- retirar- aposentar- renunciar- repelir- expulsar- rejeitar
頭,トウ ズ ト カブ,あたま かしら -がしら,contador de cabeça para animais de grande porte
負,フ,ま.ける ま.かす お.う,derrotar- negativo- -- menos- carregar- dever- assumir uma responsabilidade
渡,ト ワ タ.,わた.る -わた.る,trânsito- ford- ferry- cross- importar- entregar- diâmetro- migrar
失,シツ,うしな.う う.せる,perder- erro- falha- desvantagem- perda
差,サ,さ.す さ.し,distinção- diferença- variação- discrepância- margem- saldo
末,マツ バツ,すえ,fim- fechar- ponta- pó- posteridade
守,シュ ス カ,まも.る まも.り もり -もり,guardar- proteger- defender- obedecer
若,ジャク ニャク ニャ モ.シク,わか.い わか- も.しくわ も.し,jovem- se- talvez- possivelmente- baixo número- imaturo
種,シュ -グ,たね,espécie- espécie- classe- variedade- semente
美,ビ ミ ウツク.シ,,beleza bonita
命,メイ ミョウ,いのち,destino- comando- decreto- destino- vida- nomear
福,フ,,bênção- fortuna- sorte- riqueza
望,ボウ モウ モ,のぞ.む,ambição- lua cheia- esperança- desejo- aspirar- esperar
非,ヒ,あら.ず,un-- erro- negativo- injustiça- não-
観,カン,み.る しめ.す,perspectiva- olhar- aparência- condição- visão
察,サツ,,adivinhar- presumir- supor- julgar- compreender
段,ダン タン,,grau- degraus- escadas
横,オウ,よこ,lado- lateral- horizontal- largura- woof
深,シン,ふか.い -ぶか.い ふか.まる ふか.める み-,aprofundar- aumentar- intensificar- fortalecer
申,シン,もう.す もう.し- さる,tem a honra de- signo do macaco- 3-5PM- nono signo do zodíaco chinês
様,ヨウ ショウ,さま さん,Esq.- maneira- maneira- situação- sufixo educado
財,ザイ サイ ゾ,,propriedade- dinheiro- riqueza- ativos
港,コウ,みなと,Porto
識,シ,,discriminar- saber- escrever
呼,コ ヨ.,, chamar- chamar para- convidar
達,タツ ダ -タ,,realizado- alcançar- chegar- alcançar
 ·,リョウ -イ.,よ.い -よ.い い.い,bom- agradável- habilidoso
候,コウ,そうろう,clima- estação- tempo
程,テイ -ホ,ほど,extensão- grau- lei- fórmula- distância- limites- quantidade
満,マン バン ミ.タ,み.ちる み.つ,cheio- o suficiente- orgulho- satisfazer
敗,ハイ,やぶ.れる,falha- derrota- reversão
値,チ ア タ,ね,preço- custo- valor
突,トツカ,つ.く,esfaquear- protuberante- empurrar- empurrar- perfurar- picar
光,コウ ヒカ,ひか.る,raio de luz
 ·,ロ ル,-じ みち,caminho- rota- estrada- distância
科,,,departamento- curso- seção
積,セキ ツ.モ,つ.む -づ.み つ.もる,volume- produto (x*y)- área cultivada- conteúdo- empilhar- empilhar- carregar- acumular
他,タ,ほか,outro- outro- os outros
処,ショ,ところ -こ お.る,descartar- gerenciar- lidar com- sentenciar- condenar- agir- comportar- colocar
太,タイ タ フト.,ふと.い,gordo- grosso- grande ao redor
客,キャク カク,,convidado- visitante- cliente- cliente
否,ヒ,いな いや,negar- não- não- recusar- recusar- negar
師,,,especialista- professor- mestre- exército- guerra
登,トウ ト ドウ ショウ チョウ ア.ガ,のぼ.る,subir- subir
易,エキイ,やさ.しい やす.い,fácil- pronto para- simples- leitura da sorte- adivinhação
速,ソク スミ.ヤ,はや.い はや- はや.める,muito rápido
存,ソンゾ,,supor- estar ciente de- acreditar- sentir
飛,ヒ -ト.バ,と.ぶ と.ばす,fly- pular (páginas)- espalhar
殺,サツ サイ セツ,ころ.す -ごろ.し そ.ぐ,matar- assassinar- açougueiro- fatiar- dividir- diminuir- reduzir- estragar
号,ゴウ,さけ.ぶ よびな,apelido- número- item- título- pseudônimo- nome- chamada
単,タン,ひとえ,simples- um- único- meramente
座,ザ,すわ.る,agachar- assento- almofada- recolher- sentar
破,ハ ヤブ.レ,やぶ.る,rasgar- rasgar- quebrar- destruir- derrotar- frustrar
除,ジョジ,のぞ.く -よ.け,excluir- divisão (x- 3)- remover- abolir- cancelar- exceto
完,カン,,perfeito- conclusão- final
降,コウ ゴ クダ.,お.りる お.ろす ふ.る ふ.り くだ.る,descer- precipitar- cair- render-se
責,セキ,せ.める,culpar- condenar- censurar
捕,ホ,と.らえる と.らわれる と.る とら.える とら.われる つか.まえる つか.まる,catch capture
危,キ,あぶ.ない あや.うい あや.ぶむ,perigoso- medo- inquieto
給,キュウ -タマ.,たま.う たも.う,salário- salário- presente- permitir- conceder- conceder
苦,ク,くる.しい -ぐる.しい くる.しむ くる.しめる にが.い にが.る,sofrimento- provação- preocupação- dificuldade- sentir-se amargo- carrancudo
迎,ゲイ ムカ.エ,,bem-vindo- conhecer- cumprimentar
園,エンソ,,parque- jardim- quintal- fazenda
具,グ ツ ブ サ.,そな.える,ferramenta- utensílio- meios- possuir- ingredientes- contador para armaduras- conjuntos de móveis
辞,ジ,や.める いな.む,renunciar- palavra- termo- expressão
因,イ ン チ ナ.,よ.る,causa- fator- estar associado a- depender de- estar limitado a
馬,バ,うま うま-, cavalo
愛,アイ イト.シ,,amor- carinho- favorito
富,フ フ ウ ト,と.む,riqueza- enriquecer- abundante
彼,ヒ カ.,かれ かの,ele- que- o
未,ミ ビ,いま.だ ま.だ ひつじ,un-- ainda não- até agora- ainda- mesmo agora- signo do carneiro- 1-3PM- oitavo signo do zodíaco chinês
舞,ブ,ま.う -ま.う まい,dança- flit- círculo- roda
亡,ボウ モウ,な.い な.き- ほろ.びる ほろ.ぶ ほろ.ぼす,falecido- o tardio- moribundo- perecer
冷,レイ,つめ.たい ひ.える ひ.や ひ.ややか ひ.やす ひ.やかす さ.める さ.ます,cool- cold (cerveja-pessoa)- chill
適,テキ,かな.う,adequado- ocasional- raro- qualificado- capaz
婦,,,senhora- mulher- esposa- noiva
寄,キ ヨ.セ,よ.る -よ.り,aproximar- parar entrar- aproximar- reunir- recolher- enviar- encaminhar
込,コ.メ,-こ.む こ.む こ.み -こ.み,lotado- mistura- a granel- incluído- (kokuji)
顔,ガン,かお,expressão facial
類,ルイ,たぐ.い,tipo- tipo- variedade- classe- gênero
余,ヨ ア マ.,あま.る あま.り,demais- eu- excedente- outro- restante
王,オウ -ノ,,rei- governo- magnata
返,ヘン,かえ.す -かえ.す かえ.る -かえ.る,retornar- responder- desaparecer- reembolsar
妻,サイツ,,esposa-esposa
背,ハイ,せ せい そむ.く そむ.ける,estatura- altura- costas- atrás- desobedecer- desafiar- voltar atrás- rebelde
熱,ネツ アツ.,, calor- temperatura- febre- mania- paixão
宿,シ ュ ク ヤ ド.,やど やど.る,pousada- alojamento- estação de retransmissão- morar- alojamento- estar grávida- casa- residência
薬,ヤク クス,,remédio- químico- esmalte- pólvora- benefício
険,ケン,けわ.しい,precipitado- local inacessível- posição inexpugnável- local íngreme- olhos penetrantes
頼,ライ タヨ.,たの.む たの.もしい,pedido de confiança
覚,カク,おぼ.える さ.ます さ.める さと.る,memorizar- aprender- lembrar- acordar- ficar sóbrio
船,セン,ふね ふな,barco
途,,,rota- caminho- estrada
許,キョ,ゆる.す もと,permitir- aprovar
抜,バツ ハツ ハイ ヌ.カ,ぬ.く -ぬ.く ぬ.き ぬ.ける ぬ.かす,deslizar para fora- extrair- retirar- furtar- citar- remover- omitir
便,ベン ビン,たよ.り,conveniência
留,リュウ ル ルウブ,と.める と.まる とど.める とど.まる,deter- prender- parar- parar
罪,ザイ,つみ,culpa- pecado- crime- culpa- culpa- ofensa
努,ド,つと.める,labuta- diligente- tanto quanto possível
精,セイ ショウ シヤ,,refinado- fantasma- fada- energia- vitalidade- sêmen- excelência- pureza- habilidade
散,サンバ,ち.る ち.らす -ち.らす ち.らかす ち.らかる,espalhar- dispersar- gastar- esbanjar
静,セイ ジョウ シズ.メ,しず- しず.か しず.まる,quieto
婚,コン,,casado
喜,キ ヨロコ.バ,よろこ.ぶ,regozijar- ter prazer em
浮,フ ウ. カ ベ,う.く う.かれる う.かぶ む,flutuar- flutuar- subir à superfície
絶,ゼツ,た.える た.やす た.つ,interromper- além- cortar- cortar- abster- interromper- suprimir
幸,コウ シアワ.,さいわ.い さち,felicidade- bênção- fortuna
押,オウ オサ.エ,お.す お.し- お.っ- お.さえる,empurrar- parar- verificar- subjugar- anexar- agarrar- peso- empurrar- pressionar- selar- fazer apesar de
倒,トウ,たお.れる -だお.れ たお.す,derrubar- cair- desmoronar- cair- desmoronar
等,トウ -,ひと.しい など,etc.- e assim por diante- classe (primeira)- qualidade- igual- semelhante
老,ロウ フ.ケ,お.いる,velho - velhice - envelhecer
曲,キョク マ.ゲ,ま.がる,dobrar- música- melodia- composição- prazer- injustiça- falha- curva- torto- perverso- magro
払,フツ ヒツ ホツ -バラ.,はら.う -はら.い,pagar- eliminar- podar- banir- eliminar
庭,テイニ,,pátio- jardim- quintal
徒,ト ア,いたずら,júnior- vazio- vaidade- futilidade- inutilidade- coisa efêmera- gang- set- festa- pessoas
勤,キン ゴン,つと.める -づと.め つと.まる いそ.しむ,diligência- tornar-se empregado- servir
遅,チ オ ソ.,おく.れる おく.らす,lento- tarde- volta- mais tarde
居,キ ョ コ オ.,い.る -い,residir- ser- existir- viver com
雑,ザツ ゾウ,まじ.える まじ.る,Diversos
招,ショウ,まね.く,acenar- convidar- convocar- engajar
困,コン,こま.る,dilema- tornar-se angustiado- irritado
欠,,あくび,falta- lacuna- falha
更,コウ,さら さら.に ふ.ける ふ.かす,crescer tarde da noite vigiar sentar até tarde é claro
刻,コク,きざ.む きざ.み,gravar- cortar fino- picar- hash- picar- tempo- esculpir
賛,サン,たす.ける たた.える,aprovar- elogiar- título ou inscrição na imagem- assistir- concordar com
抱,ホウ カカ.エ,だ.く いだ.く,abraçar- abraçar- segurar nos braços
犯,ハン ボン,おか.す,crime- pecado- ofensa
恐,キョウ,おそ.れる おそ.る おそ.ろしい こわ.い こわ.がる,medo- pavor- pavor
息,ソク,いき,respiração- respiração- filho- juros (em dinheiro)
遠,エン オン トオ.,, distante- longe
戻,レイ,もど.す もど.る,re-- retornar- reverter- retomar- restaurar- retroceder
願,ガン -ネガ,ねが.う,petição- pedido- voto- desejo- esperança
絵,カイエ,,imagem- desenho- pintura- esboço
越,エツ オツ -ゴ.,こ.す -こ.す -ご.し こ.える,ultrapassar- ultrapassar- ultrapassar- ultrapassar- o Vietname
欲,ヨク,ほっ.する ほ.しい,saudade- cobiça- ganância- paixão- desejo- avidez
痛,ツウ,いた.い いた.む いた.ましい いた.める,dor- machucar- dano- contusão
笑,シ ョ ウ エ.,わら.う,rir
互,ゴ,たが.い かたみ.に,mutuamente- reciprocamente- juntos
束,ソク,たば たば.ねる つか つか.ねる,feixe- maço- feixe- amarrar em feixes- governar- gerenciar- controlar
似,ジ ヒ.,に.る,tornar-se- assemelhar- falsificar- imitar- adequado
列,レツ,,arquivo- linha- classificação- nível- coluna
探,タン,さぐ.る さが.す,apalpar- pesquisar- procurar
逃,トウ,に.げる に.がす のが.す のが.れる,escapar- fugir- fugir- esquivar- libertar- libertar
遊,ユウ ユ アソ.バ,あそ.ぶ,jogar
迷,メイ,まよ.う,perdido- estar perplexo- em dúvida- perdido- errar- ilusão
夢,ム ボ ウ,ゆめ ゆめ.みる くら.い,sonho- visão- ilusão
君,クン -ギ,きみ,velho menino- nome-sufixo
閉,ヘイ タ.テ,と.じる と.ざす し.める し.まる,fechado-fechado
緒,ショ チョ イトグ,お,fio dental- início- início- fim- cordão- alça
折,セツ オ.レ,お.る おり お.り -お.り,dobrar- quebrar- fraturar- curvar- render- submeter
草,ソウ -グ,くさ くさ-,grama- ervas daninhas- pasto- escrever- rascunho
暮,ボ ク.ラ,く.れる,sustento- ganhar a vida- gastar tempo
酒,シュ,さけ さか,saquê- álcool
悲,ヒ,かな.しい かな.しむ,cela de prisão- luto- triste- deplorar- arrependimento
晴,セイ ハ.ラ,は.れる は.れ は.れ- -ば.れ,limpar
掛,カイ ケイ -ガカ,か.ける -か.ける か.け -か.け -が.け か.かる -か.かる -が.かる か.かり -が.かり かかり,pendurar- suspender- depender- chegar a- taxar- derramar
到,トウ,いた.る,chegada- prosseguir- alcançar- atingir- resultar em
寝,シン,ね.る ね.かす い.ぬ みたまや や.める,deitar- dormir- descansar- cama- permanecer não vendido
暗,アン,くら.い,escuridão- desaparecer- sombra- informal- escurecer- ficar cego
盗,トウ,ぬす.む ぬす.み,roubar- roubar- pilfer
吸,キュウ,す.う,sugar- embeber- inalar- sorver
陽,ヨウ,,luz do sol- princípio yang- positivo- masculino- céu- dia
御,ギョゴ,おん- お- み,honroso- manipular- governar
歯,シ,よわい は よわ.い よわい.する,dente-engrenagem
忘,ボウ,わす.れる,esquecer
雪,セツユ,,neve
吹,ス イ フ.,, soprar- respirar- soprar- emitir- fumar
娘,ジョウ,むすめこ,filha-menina
誤,ゴ,あやま.る -あやま.る,errar- errar- errar- enganar
洗,セン アラ.,, lavar- investigar- sondar
慣,カン,な.れる な.らす,acostumado- acostumar-se a- tornar-se experiente
礼,レイラ,,saudação- reverência- cerimônia- agradecimento- remuneração
窓,ソウス,まど てんまど けむだし,vidraça
昔,セキ シャク,むかし,era uma vez- antiguidade- velhos tempos
貧,ヒン ビン,まず.しい,pobreza- pobre
怒,ド ヌ,いか.る おこ.る,irritado- ficar ofendido
泳,エイ,およ.ぐ,nadar
祖,,,ancestral- pioneiro- fundador
杯,ハイ,さかずき,balcão para xícaras- taça de vinho- taça- torrada
疲,ヒ,つか.れる -づか.れ つか.らす,exausto- cansado
皆,カイ ミン,みな,tudo tudo
鳴,メイ ナ.ラ,な.く な.る,gorjeio- choro- latido- som- toque- eco- buzina
腹,フク,はら,abdômen-barriga-estômago
煙,エン ケム.,けむ.る けむり,fumaça
眠,ミン ネム.,ねむ.る,dormir- morrer- sonolento
怖,フ ホ,こわ.い こわ.がる お.じる おそ.れる,terrível- estar com medo- com medo
耳,ジ ミ,,orelha
頂,チョウ,いただ.く いただき,coloque na cabeça-receber- topo da cabeça- topo- cume- pico
箱,ソウ,はこ,caixa- baú- mala- lixeira- vagão ferroviário
晩,バン,,anoitecer- noite
寒,カン サム.,, frio
髪,ハツカ,,cabelo da cabeça
忙,ボウ モウ,いそが.しい せわ.しい おそ.れる うれえるさま,ocupado- ocupado- inquieto
才,サイ,,gênio- anos de idade- shaku cúbico
靴,カ,くつ,sapato
恥,チ,は.じる はじ は.じらう は.ずかしい,vergonha- desonra
偶,グウ,たま,acidentalmente- número par- casal- homem e mulher- mesmo tipo
偉,イ エ ラ.,, admirável- grandeza- notável- presunçoso- famoso- excelente
