績,セ,,façanhas - desenrolando casulos
築,チク キズ.,, fabricar- construir- construir
貨,カ,,frete- bens- propriedade
混,コン,ま.じる -ま.じり ま.ざる ま.ぜる こ.む,misturar- misturar- confundir
昇,ショウ ノボ.,, erguer
池,チ,いけ,lagoa- cisterna- piscina- reservatório
血,ケツ,ち,sangue
温,オンヌ,あたた.か あたた.かい あたた.まる あたた.める,esquentar
季,,,temporadas
星,セイ ショウ,ほし -ぼし,estrela- ponto- ponto- marca
永,エ イ ナ ガ.,,eternidade- longo- longo
著,チョ チャク,あらわ.す いちじる.しい,renomado- publicar- escrever- notável- fenomenal- colocar- vestir- vestir- chegada- terminar (corrida)- contador para terno
誌,シ,,documento- registros
庫,コ ク,くら,armazém- depósito
刊,カン,,publicar- esculpir- gravar
像,ゾ,,estátua- foto- imagem- figura- retrato
香,コウ キョウ カオ.,か か お.り,incenso- cheiro- perfume
坂,ハンサ,,declive- inclinação- morro
底,テイ,そこ,parte inferior- sola- profundidade- preço inferior- base- tipo- classificação
布,フ ヌ,,pano de linho
寺,ジ,てら,templo budista
宇,,,beiral- telhado- casa- céu
巨,キ,,gigantesco- grande- grande- grande
震,シン,ふる.う ふる.える,abalar- estremecer- estremecer- estremecer- estremecer
希,キ ケ マ,,esperança- implorar- pedir- rezar- implorar- Grécia- diluir (ácido)- raro- poucos- fenomenal
触,ショク,ふ.れる さわ.る さわ,contatar- tocar- sentir- bater- proclamar- anunciar- conflito
 por exemplo,イ エ ヨ.,, dependentes- dependem de- consequentemente- portanto- devido a
籍,セキ,,inscrever- registo domiciliário- filiação
汚,オ,けが.す けが.れる けが.らわしい よご.す よご.れる きたな.い,sujo- poluir- desgraçar- estupro- profanar
枚,マイ バ,,folha de...- balcão para objetos planos finos ou folhas
複,フク,,duplicado- duplo- composto- múltiplo
郵,ユウ,,parada de diligências
仲,チュウナ,,relacionamento intermediário
栄,エイ ヨウ,さか.える は.え -ば.え は.える,florescer- prosperidade- honra- glória- esplendor
札,サツフ,,etiqueta- papel-moeda- contador de títulos- cartaz- lance
板,ハン バン,いた,plank- board- plate- stage
骨,コツ,ほね,esqueleto- osso- restos- quadro
傾,ケイ,かたむ.く かたむ.ける かたぶ.く かた.げる かし.げる,inclinar- inclinar- inclinar- tendência- diminuir- afundar- ruína- viés
届,カイ,とど.ける -とど.け とど.く,entregar- chegar- chegar- relatar- notificar- encaminhar
巻,カン ケン,ま.く まき ま.き,rolar- volume- livro- parte- enrolar- enrolar- amarrar- bobina- contador para textos (ou rolos de livros)
燃,ネン,も.える も.やす も.す,queimar- arder- brilhar
 ·,セキ,あと,faixas- marca- impressão- impressão
包,ホウ クル.,つつ.む,embrulhar- embrulhar- cobrir- esconder
駐,チュウ,,parar- residir residente
弱,ジャク,よわ.い よわ.る よわ.まる よわ.める,fraco- frágil
紹,ショ,,introduzir- herdar- ajudar
雇,コ,やと.う,empregar- contratar
替,タイ カ.ワ,か.える か.え-, troca- sobressalente- substituto- por-
預,ヨ,あず.ける あず.かる,depósito- custódia- deixar com- confiar a
焼,ショウ ヤ.ケ,や.く や.き や.き- -や.き,assar
簡,カン,,simplicidade- brevidade
章,ショ,,distintivo- capítulo- composição- poema- desenho
臓,ゾウ,はらわた,entranhas- vísceras- entranhas
律,リツ リチ レ,,ritmo- lei- regulação- calibre- controle
贈,ゾウ ソウ,おく.る,apresenta- enviar- dar a- prêmio para- conferir- apresentar algo
照,ショウ テ.レ,て.る て.らす,iluminar- brilhar- comparar- tímido
薄,ハク,うす.い うす- -うす うす.める うす.まる うす.らぐ うす.ら- うす.れる すすき,diluir- diluir- fraco (chá)
群,グン ムラ.ガ,む.れる む.れ むら,bando- grupo- multidão- manada- enxame- aglomerado
秒,ビョウ,,segundo (1-60 minutos)
奥,オウ オク ク,おく.まる,interior do coração
詰,キツ キチ ツ.,つ.める つ.め -づ.め つ.まる,embalado- fechar- pressionado- reprovar- repreender- culpar
双,ソウ フタ,ふた たぐい ならぶ,par- conjunto- comparação- contador para pares
刺,シ,さ.す さ.さる さ.し さし とげ,espinho- furar- facada- picada- ferroada- cartão telefônico
純,ジュ,,genuíno- pureza- inocência- líquido (lucro)
翌,ヨク,, seguinte- próximo
快,カイ ココロヨ.,, alegre- agradável- agradável- confortável
片,ヘン,かた- かた,folha de folha de um lado
敬,ケイ キョウ ウヤマ.,, temor- respeito- honrar- reverenciar
悩,ノウ,なや.む なや.ます なや.ましい なやみ,problema- preocupação- na dor- angústia- doença
泉,セン イズ,,nascente- fonte
皮,,けがわ,pele- pele- pele- couro
漁,ギョ リョウ,あさ.る,pesca- pescaria
荒,コウ スサ.,あら.い あら- あ.れる あ.らす -あ.らし,devastado- áspero- rude- selvagem
貯,チョ,た.める たくわ.える,poupança- guardar- colocar em- manter- usar bigode
硬,コウ,かた.い,duro- duro
埋,マイ,う.める う.まる う.もれる うず.める うず.まる い.ける,enterrar- ser preenchido- incorporado
柱,チュウ,はしら,pilar- poste- cilindro- suporte
祭,サイ,まつ.る まつ.り まつり,ritual- oferecer orações- celebrar- divinizar- consagrar- adorar
袋,タイ ダイ フク,,saco- saco- bolsa
筆,ヒツフ,,pincel de escrita- pincel de pintura- caligrafia
訓,クン キン クン.ズ,おし.える よ.む,instrução- leitura de caracteres japoneses- explicação- leitura
浴,ヨク ア.ビセ,あ.びる,banhar- ser favorecido com- aquecer-se
童,ドウ ワラ,,juvenil- criança
宝,ホウ タカ,,tesouro- riqueza- objetos de valor
封,フウ ホウ,,fechamento de selo
胸,キョウ,むね むな-, peito- peito- peito- coração- sentimentos
砂,サ シ ャ ス,,areia
塩,エン,しお,sal
賢,ケン カシコ.,, inteligente- sábio- sabedoria- esperteza
腕,ワン,うで,armabilidade- talento
兆,チョウ,きざ.す きざ.し,presságio- 10**12- trilhões- sinais- sintomas- sintomas
床,ショウ,とこ ゆか,cama- chão- estofamento- tatami
毛,モウ,,pelo- cabelo- pluma- penugem
緑,リョク ロク,みどり,verde
尊,ソン トウト.,たっと.い とうと.い たっと.ぶ,reverenciado- valioso- precioso- nobre- exaltado
祝,シュク シュウ イワ.,, comemorar- parabenizar
柔,ジュウ ニュウ ヤワ.,やわ.らか やわ.らかい やわ,ternura- fraqueza- suavidade- suavidade
殿,デン テン -ド,との,Sr.- salão- mansão- palácio- templo- senhor
濃,ノウ コ.,, concentrado- grosso- escuro- não diluído
液,エキ,,fluido- líquido- suco- seiva- secreção
衣,イ エ,ころも きぬ -ぎ,vestuário- roupa- vestir
肩,ケン,かた,ombro
零,レイ,ぜろ こぼ.す こぼ.れる,zero- derramamento- estouro- nada- cifra
幼,ヨウ オサナ.,, infância- infância
荷,カ,,bagagem- ombro-poste carga- carregar (um fardo)- ombro (uma arma)- carga- carga- frete
泊,ハク ト.メ,と.まる,pernoite- estadia em- passeio na âncora- 3 dias de permanência
黄,コウ オウ,き こ,amarelo
甘,カン ウマ.,あま.い あま.える あま.やかす,doce- persuadir- mimar- contentar- açucarado
臣,シンジ,,retentor- sujeito
浅,セン アサ.,, superficial- superficial- frívolo- miserável- vergonhoso
掃,ソウ シュ ハ.,, varrer
雲,ウン -グ,くも,nuvem
掘,クツ ホ.,, cavar- cavar- escavar
捨,シャ,す.てる,descartar- jogar fora- abandonar- renunciar- rejeitar- sacrificar
軟,ナン,やわ.らか やわ.らかい,macio
沈,チン ジン シズ.メ,しず.む,afundar- ser submerso- diminuir- ficar deprimido- aloés
凍,トウ シ.ミ,こお.る こご.える こご.る い.てる,congelado- congelar- refrigerar
乳,ニュウ,ちちち,seios de leite
恋,レン,こ.う こい こい.しい,romance- apaixonado- anseio por- senhorita- querida
紅,コウ ク アカ.,べに くれない,carmesim- vermelho profundo
郊,コウ,,periferia- subúrbios- área rural
腰,ヨウコ,,lombos- quadris- cintura- lambris baixos
炭,タン,すみ,carvão vegetal
踊,ヨウ,おど.る,pular- dançar- pular- pular
冊,サツ サク,ふみ,tomo- contador para livros- volume
勇,ユウ イサ.,, coragem- anime- estar em alto astral- bravura- heroísmo
械,カイ,かせ,engenhoca- grilhão- máquina- instrumento
菜,サイ,,legumes- acompanhamento- verduras
珍,チン タカ,めずら.しい,raro- curioso- estranho
卵,ラン,たまご,ovo- ovo- ova- ova
湖,コ ミ ズ ウ,,lago
喫,キツ,,consumir- comer- beber- fumar- receber (um golpe)
干,カンヒ.,ほ.す ほ.し- -ぼ.し,parch seco
虫,チュウ キ ム,,inseto- bug- temperamento
刷,サツ,す.る -ず.り -ずり は.く,imprimir- imprimir
湯,トウ,ゆ,água quente - banho - fonte termal
溶,ヨウ,と.ける と.かす と.く,derreter- dissolver- descongelar
鉱,コウ,あらがね,minério
涙,ルイ レイ,なみだ,lágrimas- simpatia
匹,ヒツ,ひき,equal- contador de cabeça para pequenos animais- rolo de pano
孫,ソンマ,,neto- descendentes
鋭,エ イ ス ル ド.,, pontiagudo- afiado- gume- arma- afiado- violento
枝,シ エ,,galho- ramo- galho- membro
塗,ト,ぬ.る ぬ.り まみ.れる,tinta- reboco- reboco- mancha- revestimento
軒,ケン,のき,flats- balcão para casas- beirais
毒,ドク,,veneno- vírus- veneno- germe- dano- lesão- despeito
叫,キョウ,さけ.ぶ,gritar- exclamar- gritar
拝,ハイ,おが.む おろが.む,adorar- adorar- rezar para
氷,ヒョウ コオ.,こおりひ,sincelo- gelo- granizo- congelar- congelar
乾,カン ケン,かわ.く かわ.かす ほ.す ひ.る いぬい,seca- seca- desidratar- beber- céu- imperador
棒,ボウ,,bastão- bastão- bengala- mastro- taco- linha
祈,キ イ ノ.,, rezar- desejo
拾,シュウ ジュウ,ひろ.う,pegar- reunir- encontrar- ir a pé- dez
粉,フン デシメートル,こ こ な,farinha- pó- pó
糸,シ,いと,fio
綿,メンワ,,algodão
汗,カン,あせ,suar- transpirar
銅,ドウ,あかがね,cobre
湿,シツ シュウ,しめ.る しめ.す うるお.う うるお.す,úmido- úmido- úmido
瓶,ビンカ,,vaso de flores- garrafa- frasco- frasco- jar- jugvat- urn
咲,ショウ -ザ,さ.く,florescer- florescer
召,ショウ,め.す,seduzir- ligar- enviar para- vestir- colocar- passeio em- comprar- comer- beber- pegar (frio)
缶,カンカ,,lata- recipiente
隻,セキ,,navios- contador para navios- peixes- pássaros- flechas- um de um par
脂,シ,あぶら,gordura- graxa- sebo- banha- resina- goma- alcatrão
蒸,ジョウセイ,む.す む.れる む.らす,vapor- calor- abafado- fomento- mofado
肌,キ,はだ,textura- pele- corpo- grão
耕,コ ウ タ ガ ヤ.,, lavrar- cultivar
鈍,ドン,にぶ.い にぶ.る にぶ- なま.る なまく.ら,maçante- lento- tolo- contundente
泥,デイ ナイ デ ニ ド,,mud- atoleiro- aderir a- ser anexado a
隅,グウ,すみ,cantinho
灯,トウ,ひ ほ- ともしび とも.す あかり,abajur- uma luz- contador de luz para luzes
辛,シン,から.い つら.い -づら.い かのと,picante- amargo- quente- acre
磨,マ ス.,みが.く,moer- polir- esfregar- melhorar- escovar (dentes)
麦,バク,むぎ,cevada- trigo
姓,セイ ショウ,,sobrenome
筒,トウ,つつ,cilindro- cano- tubo- cano da arma- manga
鼻,ビ,はな,nariz- focinho
粒,リュウ,つぶ,grãos- conta-gotas para partículas minúsculas
詞,シ,,parte do discurso-palavras-poesia
胃,イ,,estômago- pança- colheita- craw
畳,ジョウ チョウ,たた.む たたみ かさ.なる,tapete de tatami- balcão para tatames- dobrar- calar- acabar com
机,キ,つくえ,mesa de trabalho
膚,フ,はだ,pele- corpo- grão- textura- disposição
濯,タク,すす.ぐ ゆす.ぐ,lavanderia- lavar- despejar- enxaguar
塔,トウ,,pagode - torre - campanário
沸,フツ,わ.く わ.かす,fervilhar- ferver- fermentar- alvoroçar- procriar
灰,カイ,はい,cinzas- suco puckery- cremar
菓,カ,,doces- bolos- frutas
帽,ボウ モウ,ずきん おお.う,chapelaria
枯,コ,か.れる か.らす,murchar- morrer- secar- ser temperado
涼,リョウ マコト,すず.しい すず.む すず.やか うす.い ひや.す,refrescante- agradável e fresco
舟,シュウ,ふね ふな- -ぶね,barco
貝,バイ,かい,marisco
符,フ,,token- sinal- marca- contagem- charme
憎,ゾウ,にく.む にく.い にく.らしい にく.しみ,odeio- detesto
皿,ベイ,さら,prato- um prato de ajuda
肯,コウ,がえんじ.る,acordo- consentimento- cumprir com
燥,ソウ,はしゃ.ぐ,parch- secar
畜,チク,,gado - aves domésticas e animais
挟,キョウ ショウ,はさ.む はさ.まる わきばさ.む さしはさ.む,beliscar- entre
曇,ドン クモ.,, tempo nublado- nuvem para cima
滴,テキ,しずく したた.る,gotejamento
伺,シ,うかが.う,prestar respeito- visitar- perguntar- perguntar- questionar- implorar
